Worker ID,Problem,Age,Gender,Strong hand,Education,Answer,Confidence,Subjective Difficulty,Objective Difficutly,Psolve,1,2,3,4,8,10,16,60,Class,group_number
3,MagicPotion,29,Female,Right,Graduate Degree,4,4,8,6,0.4,0.25,0.05,0.05,0.05,0.5,0.05,0.05,0.0,Non-Solver,68
2,MagicPotion,28,Female,Right,Graduate Degree,8,8,5,2,0.5,0.2,0.1,0.0,0.0,0.5,0.0,0.2,0.0,Non-Solver,68
1,MagicPotion,33,Male,Right,Graduate Degree,8,4,7,5,0.2,0.05,0.05,0.05,0.2,0.4,0.05,0.2,0.0,Non-Solver,68
A2WHC086WNUQNB,MagicPotion,53,Female,Right,College,8,5,4,5,0.7,0.0,0.1,0.1,0.1,0.5,0.1,0.1,0.0,Non-Solver,68
AMZV70TID53WY,MagicPotion,26,Male,Right,College,8,10,1,2,0.9,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,Non-Solver,68
A147F5PJTHOB8A,MagicPotion,42,Male,Right,High School/GED,10,3,9,10,0.1,0.2,0.2,0.05,0.05,0.1,0.3,0.05,0.05,Non-Solver,68
A1NZFJHVJ9CNTO,MagicPotion,29,Male,Right,High School/GED,8,9,1,1,0.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Non-Solver,68
AO46MWFKLP3ZN,MagicPotion,30,Male,Right,Graduate Degree,1,10,1,5,0.5,0.5,0.1,0.0,0.05,0.1,0.05,0.1,0.1,Non-Solver,68
A39YK8LJ8O37OY,MagicPotion,33,Female,Right,Graduate Degree,1,2,1,1,0.2,0.05,0.05,0.05,0.05,0.1,0.2,0.35,0.15,Non-Solver,68
AKF2CET7H6C5X,MagicPotion,32,Male,Right,Graduate Degree,4,1,6,5,0.7,0.15,0.15,0.1,0.1,0.1,0.1,0.15,0.15,Non-Solver,68
A53WVYONK6B9Q,MagicPotion,26,Male,Right,High School/GED,8,5,4,6,0.1,0.1,0.1,0.1,0.15,0.15,0.15,0.1,0.15,Non-Solver,68
AMELYCC59JKB0,MagicPotion,37,Female,Right,College,8,8,5,5,0.5,0.2,0.25,0.15,0.05,0.35,0.0,0.0,0.0,Non-Solver,68
A8FCVU1TTDVL0,MagicPotion,40,Female,Right,College,8,10,3,3,0.8,0.0,0.0,0.0,0.0,0.95,0.05,0.0,0.0,Non-Solver,68
A198MSVO1VTAT5,MagicPotion,60,Female,Right,College,8,10,1,1,0.7,0.2,0.1,0.1,0.1,0.5,0.0,0.0,0.0,Non-Solver,68
A2QUQ0S2F6K3QJ,MagicPotion,63,Female,Right,High School/GED,8,4,3,6,0.3,0.2,0.05,0.1,0.15,0.35,0.1,0.05,0.0,Non-Solver,68
A3U21PUMQ6NGT2,MagicPotion,38,Female,Right,College,1,6,1,3,0.75,0.3,0.15,0.05,0.1,0.15,0.15,0.1,0.0,Non-Solver,68
A3J85WP15JFYW0,MagicPotion,31,Male,Right,College,1,10,2,5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,Non-Solver,68
A2DWPP1KKAY0HG,MagicPotion,24,Male,Right,College,1,10,2,4,0.7,0.7,0.0,0.0,0.0,0.15,0.0,0.15,0.0,Non-Solver,68
A2ZLII4MLBHWR4,MagicPotion,27,Male,Right,Graduate Degree,1,8,3,1,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-Solver,68
1532532,MagicPotion,22,Male,Right,Graduate Degree,4,7,6,8,0.4,0.05,0.1,0.1,0.4,0.35,0.0,0.0,0.0,Non-Solver,68
A18TCR555RWUZV,MagicPotion,34,Male,Right,College,1,9,4,7,0.35,0.25,0.15,0.1,0.25,0.25,0.0,0.0,0.0,Non-Solver,69
A1JVWOBGNA6KJT,MagicPotion,54,Male,Right,High School/GED,1,9,4,3,0.6,0.6,0.05,0.05,0.05,0.25,0.0,0.0,0.0,Non-Solver,69
A1O5IL3N3G3WIL,MagicPotion,45,Female,Right,College,8,5,5,5,0.65,0.2,0.2,0.15,0.1,0.15,0.05,0.05,0.05,Non-Solver,69
A1ROEDVMTO9Y3X,MagicPotion,50,Female,Left,College,8,8,8,3,0.4,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.0,Non-Solver,69
A1RV2LERVS0A4H,MagicPotion,33,Female,Right,College,8,6,3,3,0.6,0.0,0.0,0.0,0.35,0.6,0.05,0.0,0.0,Non-Solver,69
A1WVNDH62P2UNZ,MagicPotion,26,Female,Right,High School/GED,8,7,3,2,1.0,0.0,0.0,0.0,0.0,0.75,0.1,0.05,0.1,Non-Solver,69
A21SF3IKIZB0VN,MagicPotion,73,Female,Left,Graduate Degree,8,9,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Non-Solver,69
A23BWWRR7J5XLS,MagicPotion,42,Male,Right,High School/GED,8,8,5,6,0.65,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,Non-Solver,69
A23KAJRDVCVGOE,MagicPotion,41,Male,Left,High School/GED,10,2,9,9,0.1,0.05,0.05,0.05,0.05,0.25,0.45,0.1,0.0,Non-Solver,69
A2541C8MY0BYV3,MagicPotion,29,Male,Right,College,10,2,10,10,0.05,0.15,0.1,0.2,0.05,0.15,0.25,0.05,0.05,Non-Solver,69
A270HX8LH9LJ8W,MagicPotion,38,Male,Right,Graduate Degree,8,6,5,5,0.5,0.05,0.1,0.1,0.15,0.5,0.05,0.05,0.0,Non-Solver,69
A2B2HQHFBYLTXU,MagicPotion,36,Male,Right,Graduate Degree,1,4,6,6,0.25,0.35,0.15,0.1,0.1,0.15,0.05,0.05,0.05,Non-Solver,69
A2GNG7DWHQA6ZZ,MagicPotion,34,Male,Right,Graduate Degree,8,9,2,3,0.85,0.0,0.0,0.0,0.15,0.85,0.0,0.0,0.0,Non-Solver,69
A2VLTSW6CXIUMR,MagicPotion,44,Male,Right,High School/GED,8,7,3,4,0.75,0.0,0.0,0.0,0.1,0.8,0.05,0.05,0.0,Non-Solver,69
A2YCMT5BPA0AG9,MagicPotion,50,Male,Right,College,1,6,6,5,0.3,0.25,0.05,0.1,0.15,0.45,0.0,0.0,0.0,Non-Solver,69
A2YWSSQEXXCRGK,MagicPotion,51,Female,Right,Graduate Degree,8,8,3,3,0.75,0.1,0.05,0.0,0.1,0.75,0.0,0.0,0.0,Non-Solver,69
A3ADVMXAYYYPD2,MagicPotion,42,Male,Right,Graduate Degree,16,10,1,1,0.65,0.0,0.0,0.0,0.0,0.45,0.05,0.5,0.0,Non-Solver,69
A3C8NUIBNZYMT2,MagicPotion,30,Male,Right,College,1,6,3,7,0.7,0.5,0.1,0.05,0.05,0.05,0.05,0.1,0.1,Non-Solver,69
A3LLOANE52R4LT,MagicPotion,35,Male,Right,College,8,9,5,5,0.65,0.1,0.15,0.1,0.1,0.45,0.1,0.0,0.0,Non-Solver,69
A3QLGMZOLGMBQ1,MagicPotion,51,Male,Right,Graduate Degree,1,8,3,3,0.75,0.9,0.05,0.0,0.0,0.0,0.0,0.0,0.05,Non-Solver,69
A3R5OJR60C6004,MagicPotion,45,Male,Right,College,8,8,4,4,0.6,0.0,0.05,0.15,0.15,0.6,0.05,0.0,0.0,Non-Solver,69
A3S1DILZ70PXC,MagicPotion,41,Female,Right,College,1,8,5,3,0.6,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,Non-Solver,69
A3URLNXHLP4ARU,MagicPotion,47,Female,Right,Graduate Degree,8,5,5,8,0.5,0.1,0.05,0.05,0.05,0.5,0.0,0.1,0.15,Non-Solver,69
A4IH4CO046EV3,MagicPotion,40,Male,Right,College,2,10,1,8,0.1,0.0,0.1,0.1,0.25,0.4,0.1,0.05,0.0,Non-Solver,69
AAQREZOK13OV7,MagicPotion,31,Male,Right,College,4,4,7,6,0.45,0.0,0.05,0.1,0.2,0.45,0.15,0.05,0.0,Non-Solver,69
17,MagicPotion,29,Male,Right,College,3,6,9,10,0.2,0.0,0.1,0.2,0.35,0.35,0.0,0.0,0.0,Solver,69
17,MagicPotion,29,Male,Right,College,3,6,9,10,0.2,0.0,0.1,0.2,0.35,0.35,0.0,0.0,0.0,Solver,69
17,MagicPotion,29,Male,Right,College,3,6,9,10,0.2,0.0,0.1,0.2,0.35,0.35,0.0,0.0,0.0,Solver,69
17,MagicPotion,29,Male,Right,College,3,6,9,10,0.2,0.0,0.1,0.2,0.35,0.35,0.0,0.0,0.0,Solver,69
18,MagicPotion,17,Male,Right,High School/GED,8,5,4,6,0.4,0.05,0.0,0.0,0.1,0.25,0.1,0.3,0.2,Non-Solver,69
16,MagicPotion,22,Female,Right,College,8,3,5,5,0.6,0.15,0.0,0.05,0.1,0.6,0.05,0.05,0.0,Non-Solver,69
15,MagicPotion,25,Male,Right,Graduate Degree,8,1,7,7,0.1,0.05,0.05,0.05,0.05,0.45,0.05,0.05,0.25,Non-Solver,70
14,MagicPotion,26,Male,Right,College,3,5,7,6,0.4,0.05,0.05,0.4,0.25,0.25,0.0,0.0,0.0,Solver,70
13,MagicPotion,27,Male,Right,Graduate Degree,3,10,7,10,0.2,0.0,0.05,0.2,0.4,0.35,0.0,0.0,0.0,Solver,70
12,MagicPotion,25,Female,Right,Graduate Degree,4,1,10,10,0.1,0.0,0.1,0.15,0.35,0.4,0.0,0.0,0.0,Non-Solver,70
11,MagicPotion,28,Male,Right,Graduate Degree,8,10,1,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Non-Solver,70
10,MagicPotion,29,Male,Right,High School/GED,8,3,6,7,0.3,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,Non-Solver,70
9,MagicPotion,36,Male,Right,Graduate Degree,4,1,10,10,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,Non-Solver,70
8,MagicPotion,26,Female,Right,College,8,1,6,6,0.2,0.0,0.0,0.0,0.0,0.35,0.15,0.2,0.3,Non-Solver,70
7,MagicPotion,35,Female,Left,Graduate Degree,8,6,3,4,0.7,0.2,0.0,0.0,0.1,0.7,0.0,0.0,0.0,Non-Solver,70
6,MagicPotion,60,Male,Right,Graduate Degree,3,10,3,6,0.5,0.0,0.0,0.5,0.3,0.2,0.0,0.0,0.0,Solver,70
5,MagicPotion,39,Female,Right,Graduate Degree,4,10,7,6,0.5,0.0,0.0,0.15,0.5,0.3,0.05,0.0,0.0,Non-Solver,70
4,MagicPotion,62,Female,Right,Graduate Degree,8,10,2,2,0.8,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,Non-Solver,70
3,MagicPotion,29,Female,Right,Graduate Degree,4,4,8,6,0.4,0.25,0.05,0.05,0.05,0.5,0.05,0.05,0.0,Non-Solver,70
2,MagicPotion,28,Female,Right,Graduate Degree,8,8,5,2,0.5,0.2,0.1,0.0,0.0,0.5,0.0,0.2,0.0,Non-Solver,70
1,MagicPotion,33,Male,Right,Graduate Degree,8,4,7,5,0.2,0.05,0.05,0.05,0.2,0.4,0.05,0.2,0.0,Non-Solver,70
A2WHC086WNUQNB,MagicPotion,53,Female,Right,College,8,5,4,5,0.7,0.0,0.1,0.1,0.1,0.5,0.1,0.1,0.0,Non-Solver,70
AMZV70TID53WY,MagicPotion,26,Male,Right,College,8,10,1,2,0.9,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,Non-Solver,70
A147F5PJTHOB8A,MagicPotion,42,Male,Right,High School/GED,10,3,9,10,0.1,0.2,0.2,0.05,0.05,0.1,0.3,0.05,0.05,Non-Solver,70
A1NZFJHVJ9CNTO,MagicPotion,29,Male,Right,High School/GED,8,9,1,1,0.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Non-Solver,70
AO46MWFKLP3ZN,MagicPotion,30,Male,Right,Graduate Degree,1,10,1,5,0.5,0.5,0.1,0.0,0.05,0.1,0.05,0.1,0.1,Non-Solver,70
A39YK8LJ8O37OY,MagicPotion,33,Female,Right,Graduate Degree,1,2,1,1,0.2,0.05,0.05,0.05,0.05,0.1,0.2,0.35,0.15,Non-Solver,70
AKF2CET7H6C5X,MagicPotion,32,Male,Right,Graduate Degree,4,1,6,5,0.7,0.15,0.15,0.1,0.1,0.1,0.1,0.15,0.15,Non-Solver,70
A53WVYONK6B9Q,MagicPotion,26,Male,Right,High School/GED,8,5,4,6,0.1,0.1,0.1,0.1,0.15,0.15,0.15,0.1,0.15,Non-Solver,70
AMELYCC59JKB0,MagicPotion,37,Female,Right,College,8,8,5,5,0.5,0.2,0.25,0.15,0.05,0.35,0.0,0.0,0.0,Non-Solver,70
A8FCVU1TTDVL0,MagicPotion,40,Female,Right,College,8,10,3,3,0.8,0.0,0.0,0.0,0.0,0.95,0.05,0.0,0.0,Non-Solver,70
A198MSVO1VTAT5,MagicPotion,60,Female,Right,College,8,10,1,1,0.7,0.2,0.1,0.1,0.1,0.5,0.0,0.0,0.0,Non-Solver,70
A3U21PUMQ6NGT2,MagicPotion,38,Female,Right,College,1,6,1,3,0.75,0.3,0.15,0.05,0.1,0.15,0.15,0.1,0.0,Non-Solver,70
A3J85WP15JFYW0,MagicPotion,31,Male,Right,College,1,10,2,5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,Non-Solver,70
A2DWPP1KKAY0HG,MagicPotion,24,Male,Right,College,1,10,2,4,0.7,0.7,0.0,0.0,0.0,0.15,0.0,0.15,0.0,Non-Solver,70
A2ZLII4MLBHWR4,MagicPotion,27,Male,Right,Graduate Degree,1,8,3,1,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-Solver,70
1532532,MagicPotion,22,Male,Right,Graduate Degree,4,7,6,8,0.4,0.05,0.1,0.1,0.4,0.35,0.0,0.0,0.0,Non-Solver,70
A18TCR555RWUZV,MagicPotion,34,Male,Right,College,1,9,4,7,0.35,0.25,0.15,0.1,0.25,0.25,0.0,0.0,0.0,Non-Solver,71
A1JVWOBGNA6KJT,MagicPotion,54,Male,Right,High School/GED,1,9,4,3,0.6,0.6,0.05,0.05,0.05,0.25,0.0,0.0,0.0,Non-Solver,71
A1O5IL3N3G3WIL,MagicPotion,45,Female,Right,College,8,5,5,5,0.65,0.2,0.2,0.15,0.1,0.15,0.05,0.05,0.05,Non-Solver,71
A1ROEDVMTO9Y3X,MagicPotion,50,Female,Left,College,8,8,8,3,0.4,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.0,Non-Solver,71
A1RV2LERVS0A4H,MagicPotion,33,Female,Right,College,8,6,3,3,0.6,0.0,0.0,0.0,0.35,0.6,0.05,0.0,0.0,Non-Solver,71
A1WVNDH62P2UNZ,MagicPotion,26,Female,Right,High School/GED,8,7,3,2,1.0,0.0,0.0,0.0,0.0,0.75,0.1,0.05,0.1,Non-Solver,71
A21SF3IKIZB0VN,MagicPotion,73,Female,Left,Graduate Degree,8,9,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Non-Solver,71
A23BWWRR7J5XLS,MagicPotion,42,Male,Right,High School/GED,8,8,5,6,0.65,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,Non-Solver,71
A23KAJRDVCVGOE,MagicPotion,41,Male,Left,High School/GED,10,2,9,9,0.1,0.05,0.05,0.05,0.05,0.25,0.45,0.1,0.0,Non-Solver,71
A2541C8MY0BYV3,MagicPotion,29,Male,Right,College,10,2,10,10,0.05,0.15,0.1,0.2,0.05,0.15,0.25,0.05,0.05,Non-Solver,71
A270HX8LH9LJ8W,MagicPotion,38,Male,Right,Graduate Degree,8,6,5,5,0.5,0.05,0.1,0.1,0.15,0.5,0.05,0.05,0.0,Non-Solver,71
A2B2HQHFBYLTXU,MagicPotion,36,Male,Right,Graduate Degree,1,4,6,6,0.25,0.35,0.15,0.1,0.1,0.15,0.05,0.05,0.05,Non-Solver,71
A2GNG7DWHQA6ZZ,MagicPotion,34,Male,Right,Graduate Degree,8,9,2,3,0.85,0.0,0.0,0.0,0.15,0.85,0.0,0.0,0.0,Non-Solver,71
A2VLTSW6CXIUMR,MagicPotion,44,Male,Right,High School/GED,8,7,3,4,0.75,0.0,0.0,0.0,0.1,0.8,0.05,0.05,0.0,Non-Solver,71
A2YCMT5BPA0AG9,MagicPotion,50,Male,Right,College,1,6,6,5,0.3,0.25,0.05,0.1,0.15,0.45,0.0,0.0,0.0,Non-Solver,71
A2YWSSQEXXCRGK,MagicPotion,51,Female,Right,Graduate Degree,8,8,3,3,0.75,0.1,0.05,0.0,0.1,0.75,0.0,0.0,0.0,Non-Solver,71
A3ADVMXAYYYPD2,MagicPotion,42,Male,Right,Graduate Degree,16,10,1,1,0.65,0.0,0.0,0.0,0.0,0.45,0.05,0.5,0.0,Non-Solver,71
A3C8NUIBNZYMT2,MagicPotion,30,Male,Right,College,1,6,3,7,0.7,0.5,0.1,0.05,0.05,0.05,0.05,0.1,0.1,Non-Solver,71
A3LLOANE52R4LT,MagicPotion,35,Male,Right,College,8,9,5,5,0.65,0.1,0.15,0.1,0.1,0.45,0.1,0.0,0.0,Non-Solver,71
A3QLGMZOLGMBQ1,MagicPotion,51,Male,Right,Graduate Degree,1,8,3,3,0.75,0.9,0.05,0.0,0.0,0.0,0.0,0.0,0.05,Non-Solver,71
A3R5OJR60C6004,MagicPotion,45,Male,Right,College,8,8,4,4,0.6,0.0,0.05,0.15,0.15,0.6,0.05,0.0,0.0,Non-Solver,71
A3S1DILZ70PXC,MagicPotion,41,Female,Right,College,1,8,5,3,0.6,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,Non-Solver,71
A3URLNXHLP4ARU,MagicPotion,47,Female,Right,Graduate Degree,8,5,5,8,0.5,0.1,0.05,0.05,0.05,0.5,0.0,0.1,0.15,Non-Solver,71
A4IH4CO046EV3,MagicPotion,40,Male,Right,College,2,10,1,8,0.1,0.0,0.1,0.1,0.25,0.4,0.1,0.05,0.0,Non-Solver,71
AAQREZOK13OV7,MagicPotion,31,Male,Right,College,4,4,7,6,0.45,0.0,0.05,0.1,0.2,0.45,0.15,0.05,0.0,Non-Solver,71
17,MagicPotion,29,Male,Right,College,3,6,9,10,0.2,0.0,0.1,0.2,0.35,0.35,0.0,0.0,0.0,Solver,71
17,MagicPotion,29,Male,Right,College,3,6,9,10,0.2,0.0,0.1,0.2,0.35,0.35,0.0,0.0,0.0,Solver,71
17,MagicPotion,29,Male,Right,College,3,6,9,10,0.2,0.0,0.1,0.2,0.35,0.35,0.0,0.0,0.0,Solver,71
17,MagicPotion,29,Male,Right,College,3,6,9,10,0.2,0.0,0.1,0.2,0.35,0.35,0.0,0.0,0.0,Solver,71
17,MagicPotion,29,Male,Right,College,3,6,9,10,0.2,0.0,0.1,0.2,0.35,0.35,0.0,0.0,0.0,Solver,71
17,MagicPotion,29,Male,Right,College,3,6,9,10,0.2,0.0,0.1,0.2,0.35,0.35,0.0,0.0,0.0,Solver,71
17,MagicPotion,29,Male,Right,College,3,6,9,10,0.2,0.0,0.1,0.2,0.35,0.35,0.0,0.0,0.0,Solver,72
17,MagicPotion,29,Male,Right,College,3,6,9,10,0.2,0.0,0.1,0.2,0.35,0.35,0.0,0.0,0.0,Solver,72
AAQREZOK13OV7,MagicPotion,31,Male,Right,College,4,4,7,6,0.45,0.0,0.05,0.1,0.2,0.45,0.15,0.05,0.0,Non-Solver,72
AFQ9W6WA8O9EH,MagicPotion,51,Female,Left,Graduate Degree,1,10,1,5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,Non-Solver,72
AN9MVFWRCF2OP,MagicPotion,29,Male,Right,College,8,9,2,4,0.9,0.0,0.0,0.0,0.1,0.75,0.15,0.0,0.0,Non-Solver,72
AY2U544TCVPMQ,MagicPotion,37,Male,Right,Graduate Degree,1,6,5,9,0.1,0.1,0.05,0.05,0.05,0.6,0.05,0.05,0.05,Non-Solver,72
AYW62R027PUT1,MagicPotion,44,Male,Right,College,8,9,2,3,0.6,0.2,0.0,0.0,0.1,0.6,0.0,0.1,0.0,Non-Solver,72
18,MagicPotion,17,Male,Right,High School/GED,8,5,4,6,0.4,0.05,0.0,0.0,0.1,0.25,0.1,0.3,0.2,Non-Solver,72
16,MagicPotion,22,Female,Right,College,8,3,5,5,0.6,0.15,0.0,0.05,0.1,0.6,0.05,0.05,0.0,Non-Solver,72
15,MagicPotion,25,Male,Right,Graduate Degree,8,1,7,7,0.1,0.05,0.05,0.05,0.05,0.45,0.05,0.05,0.25,Non-Solver,72
14,MagicPotion,26,Male,Right,College,3,5,7,6,0.4,0.05,0.05,0.4,0.25,0.25,0.0,0.0,0.0,Solver,72
13,MagicPotion,27,Male,Right,Graduate Degree,3,10,7,10,0.2,0.0,0.05,0.2,0.4,0.35,0.0,0.0,0.0,Solver,72
12,MagicPotion,25,Female,Right,Graduate Degree,4,1,10,10,0.1,0.0,0.1,0.15,0.35,0.4,0.0,0.0,0.0,Non-Solver,72
11,MagicPotion,28,Male,Right,Graduate Degree,8,10,1,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Non-Solver,72
10,MagicPotion,29,Male,Right,High School/GED,8,3,6,7,0.3,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,Non-Solver,72
9,MagicPotion,36,Male,Right,Graduate Degree,4,1,10,10,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,Non-Solver,72
8,MagicPotion,26,Female,Right,College,8,1,6,6,0.2,0.0,0.0,0.0,0.0,0.35,0.15,0.2,0.3,Non-Solver,72
7,MagicPotion,35,Female,Left,Graduate Degree,8,6,3,4,0.7,0.2,0.0,0.0,0.1,0.7,0.0,0.0,0.0,Non-Solver,72
6,MagicPotion,60,Male,Right,Graduate Degree,3,10,3,6,0.5,0.0,0.0,0.5,0.3,0.2,0.0,0.0,0.0,Solver,72
5,MagicPotion,39,Female,Right,Graduate Degree,4,10,7,6,0.5,0.0,0.0,0.15,0.5,0.3,0.05,0.0,0.0,Non-Solver,72
4,MagicPotion,62,Female,Right,Graduate Degree,8,10,2,2,0.8,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,Non-Solver,72
3,MagicPotion,29,Female,Right,Graduate Degree,4,4,8,6,0.4,0.25,0.05,0.05,0.05,0.5,0.05,0.05,0.0,Non-Solver,72
2,MagicPotion,28,Female,Right,Graduate Degree,8,8,5,2,0.5,0.2,0.1,0.0,0.0,0.5,0.0,0.2,0.0,Non-Solver,72
1,MagicPotion,33,Male,Right,Graduate Degree,8,4,7,5,0.2,0.05,0.05,0.05,0.2,0.4,0.05,0.2,0.0,Non-Solver,72
A2WHC086WNUQNB,MagicPotion,53,Female,Right,College,8,5,4,5,0.7,0.0,0.1,0.1,0.1,0.5,0.1,0.1,0.0,Non-Solver,72
AMZV70TID53WY,MagicPotion,26,Male,Right,College,8,10,1,2,0.9,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,Non-Solver,72
A147F5PJTHOB8A,MagicPotion,42,Male,Right,High School/GED,10,3,9,10,0.1,0.2,0.2,0.05,0.05,0.1,0.3,0.05,0.05,Non-Solver,72
A1NZFJHVJ9CNTO,MagicPotion,29,Male,Right,High School/GED,8,9,1,1,0.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Non-Solver,72
AO46MWFKLP3ZN,MagicPotion,30,Male,Right,Graduate Degree,1,10,1,5,0.5,0.5,0.1,0.0,0.05,0.1,0.05,0.1,0.1,Non-Solver,72
A39YK8LJ8O37OY,MagicPotion,33,Female,Right,Graduate Degree,1,2,1,1,0.2,0.05,0.05,0.05,0.05,0.1,0.2,0.35,0.15,Non-Solver,72
AKF2CET7H6C5X,MagicPotion,32,Male,Right,Graduate Degree,4,1,6,5,0.7,0.15,0.15,0.1,0.1,0.1,0.1,0.15,0.15,Non-Solver,72
A53WVYONK6B9Q,MagicPotion,26,Male,Right,High School/GED,8,5,4,6,0.1,0.1,0.1,0.1,0.15,0.15,0.15,0.1,0.15,Non-Solver,72
AMELYCC59JKB0,MagicPotion,37,Female,Right,College,8,8,5,5,0.5,0.2,0.25,0.15,0.05,0.35,0.0,0.0,0.0,Non-Solver,72
A8FCVU1TTDVL0,MagicPotion,40,Female,Right,College,8,10,3,3,0.8,0.0,0.0,0.0,0.0,0.95,0.05,0.0,0.0,Non-Solver,72
A198MSVO1VTAT5,MagicPotion,60,Female,Right,College,8,10,1,1,0.7,0.2,0.1,0.1,0.1,0.5,0.0,0.0,0.0,Non-Solver,72
A2QUQ0S2F6K3QJ,MagicPotion,63,Female,Right,High School/GED,8,4,3,6,0.3,0.2,0.05,0.1,0.15,0.35,0.1,0.05,0.0,Non-Solver,72
