Worker ID,Problem,Age,Gender,Strong hand,Education,Answer,Confidence,Psolve,1 second,1000 seconds,1 minute,1000 minutes,1 hour,1000 hours,2000 hours,1000000 hours,Infinity,There is no way to know without additional information,Class,group_number
AZTHBV93S8U3T,CR_Conf,29,Male,Both hands are equally strong,College,1000 hours,1,0-10%,11-20%,31-40%,21-30%,41-50%,21-30%,11-20%,11-20%,11-20%,21-30%,21-30%,Non-Solver,28
AZVI1B5Z5L56N,CR_Conf,54,Female,Right,College,There is no way to know without additional information,2,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,Non-Solver,28
AZXRWSMDC8FJN,CR_Conf,39,Male,Right,High School/GED,Infinity,3,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,21-30%,21-30%,21-30%,Non-Solver,28
A1J7B88OY9694M,CR_Conf,25,Female,Right,Graduate Degree,1000 minutes,6,31-40%,0-10%,0-10%,41-50%,61-70%,31-40%,21-30%,41-50%,31-40%,61-70%,41-50%,Non-Solver,28
A1J82TFS52JTQ8,CR_Conf,48,Male,Right,Graduate Degree,1 hour,5,51-60%,0-10%,0-10%,41-50%,51-60%,61-70%,41-50%,51-60%,41-50%,31-40%,31-40%,Solver,28
A1J9IYN46FX00O,CR_Conf,28,Male,Right,College,1 hour,3,11-20%,0-10%,0-10%,0-10%,11-20%,21-30%,0-10%,0-10%,0-10%,21-30%,11-20%,Solver,28
A1JBP4MR0694WV,CR_Conf,25,Female,Right,Graduate Degree,1 hour,8,51-60%,0-10%,0-10%,61-70%,41-50%,51-60%,31-40%,51-60%,21-30%,41-50%,21-30%,Solver,28
A1JMD1M91WRWGB,CR_Conf,45,Male,Both hands are equally strong,College,1 hour,7,21-30%,0-10%,0-10%,0-10%,11-20%,31-40%,11-20%,0-10%,0-10%,0-10%,0-10%,Solver,28
A1JPUM7KH3020K,CR_Conf,57,Female,Left,High School/GED,1000 hours,2,11-20%,0-10%,0-10%,0-10%,0-10%,21-30%,21-30%,11-20%,11-20%,31-40%,31-40%,Non-Solver,28
A1JV64BL3WCK0G,CR_Conf,40,Female,Left,High School/GED,There is no way to know without additional information,10,71-80%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,11-20%,31-40%,31-40%,Non-Solver,28
A1JVO7FLPATHUB,CR_Conf,26,Male,Right,High School/GED,Infinity,1,11-20%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,11-20%,31-40%,31-40%,0-10%,Non-Solver,28
A1JY4MHK3V85FY,CR_Conf,35,Male,Right,Graduate Degree,1 second,8,61-70%,71-80%,51-60%,41-50%,31-40%,41-50%,31-40%,21-30%,21-30%,21-30%,11-20%,Non-Solver,28
A1KGCOR8OXYR72,CR_Conf,33,Male,Right,College,Infinity,1,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,21-30%,31-40%,21-30%,Non-Solver,28
A1KK732EBDOVXM,CR_Conf,30,Female,Right,College,Infinity,8,11-20%,0-10%,0-10%,0-10%,21-30%,31-40%,31-40%,31-40%,11-20%,51-60%,71-80%,Non-Solver,28
A1KKEN3JBVHJMO,CR_Conf,18,Male,Right,College,1000 hours,4,21-30%,0-10%,31-40%,0-10%,11-20%,21-30%,61-70%,31-40%,41-50%,51-60%,71-80%,Non-Solver,28
A1KOHXO0BIQB8T,CR_Conf,66,Male,Right,High School/GED,There is no way to know without additional information,10,41-50%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,31-40%,31-40%,Non-Solver,29
A1KRO0JWU6LT0I,CR_Conf,35,Female,Right,College,Infinity,7,61-70%,0-10%,0-10%,0-10%,0-10%,11-20%,31-40%,21-30%,31-40%,51-60%,11-20%,Non-Solver,29
A1KSD1NY2FPVG,CR_Conf,35,Male,Both hands are equally strong,Graduate Degree,Infinity,4,21-30%,21-30%,21-30%,11-20%,31-40%,21-30%,31-40%,31-40%,21-30%,31-40%,31-40%,Non-Solver,29
A1E6XN5C8S0X7W,CR_Conf,30,Male,Right,College,1 minute,4,0-10%,11-20%,0-10%,11-20%,0-10%,11-20%,0-10%,0-10%,0-10%,11-20%,0-10%,Non-Solver,29
A1E77HZO63E334,CR_Conf,25,Male,Right,College,There is no way to know without additional information,9,21-30%,0-10%,0-10%,0-10%,11-20%,0-10%,11-20%,11-20%,0-10%,11-20%,11-20%,Non-Solver,29
A1E8PIR82KIJEP,CR_Conf,22,Female,Right,College,Infinity,9,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,Non-Solver,29
A1N0KY93FD1YXK,CR_Conf,22,Female,Both hands are equally strong,College,1 minute,6,11-20%,61-70%,51-60%,51-60%,51-60%,61-70%,51-60%,41-50%,51-60%,61-70%,51-60%,Non-Solver,29
A1N18MITH00IW7,CR_Conf,28,Male,Right,Graduate Degree,1 minute,7,71-80%,11-20%,21-30%,61-70%,31-40%,21-30%,31-40%,31-40%,41-50%,31-40%,31-40%,Non-Solver,29
A1N2O9SRQSVL03,CR_Conf,28,Female,Right,College,Infinity,5,41-50%,0-10%,0-10%,0-10%,0-10%,41-50%,0-10%,31-40%,31-40%,61-70%,11-20%,Non-Solver,29
A1N34IJ4VY3Y80,CR_Conf,43,Female,Right,College,Infinity,3,51-60%,11-20%,11-20%,11-20%,11-20%,11-20%,0-10%,0-10%,0-10%,11-20%,11-20%,Non-Solver,29
A1N35VV9QURKHX,CR_Conf,43,Female,Right,College,1 hour,6,51-60%,0-10%,0-10%,0-10%,21-30%,51-60%,0-10%,0-10%,0-10%,0-10%,41-50%,Solver,29
A1NCSZCN8EA787,CR_Conf,44,Male,Right,College,1 hour,4,21-30%,0-10%,21-30%,41-50%,0-10%,31-40%,11-20%,0-10%,0-10%,21-30%,11-20%,Solver,29
A1NENB83QRIAU,CR_Conf,30,Male,Right,Graduate Degree,1 minute,10,81-90%,81-90%,71-80%,81-90%,51-60%,71-80%,71-80%,61-70%,71-80%,81-90%,61-70%,Non-Solver,29
A1NGG9MJ39HX5L,CR_Conf,30,Male,Right,Graduate Degree,1000 hours,8,51-60%,41-50%,51-60%,51-60%,51-60%,41-50%,61-70%,61-70%,51-60%,51-60%,51-60%,Non-Solver,29
A1NITBXDX8TN7T,CR_Conf,48,Female,Right,Graduate Degree,There is no way to know without additional information,10,11-20%,0-10%,0-10%,0-10%,0-10%,31-40%,41-50%,51-60%,41-50%,71-80%,81-90%,Non-Solver,29
A1NKBXOTZAI1YK,CR_Conf,32,Male,Right,High School/GED,2000 hours,3,11-20%,0-10%,11-20%,0-10%,11-20%,21-30%,11-20%,11-20%,0-10%,0-10%,41-50%,Non-Solver,29
A1NR3COO33J99C,CR_Conf,37,Male,Right,Graduate Degree,Infinity,9,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,91-100%,91-100%,Non-Solver,29
A1NZFJHVJ9CNTO,CR_Conf,29,Male,Right,High School/GED,Infinity,10,61-70%,0-10%,0-10%,0-10%,11-20%,11-20%,11-20%,11-20%,11-20%,41-50%,11-20%,Non-Solver,29
A1O6RWI7T20126,CR_Conf,65,Female,Right,Graduate Degree,1000 hours,8,71-80%,11-20%,21-30%,31-40%,41-50%,51-60%,61-70%,71-80%,61-70%,51-60%,41-50%,Non-Solver,29
A1OAPKSCEYJC37,CR_Conf,28,Female,Right,Graduate Degree,1000 minutes,5,31-40%,0-10%,0-10%,0-10%,31-40%,21-30%,11-20%,21-30%,21-30%,0-10%,0-10%,Non-Solver,29
A1OK1RLVXS2RKJ,CR_Conf,29,Prefer not to say,Right,College,There is no way to know without additional information,10,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,Non-Solver,29
A1OKMU27HBN9T3,CR_Conf,46,Female,Right,College,There is no way to know without additional information,6,11-20%,0-10%,0-10%,0-10%,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,Non-Solver,29
A1OL25WY0BYMMH,CR_Conf,52,Male,Right,College,1 hour,8,31-40%,0-10%,0-10%,0-10%,11-20%,61-70%,31-40%,21-30%,0-10%,11-20%,21-30%,Solver,29
A1OR82RF1ZFWP,CR_Conf,68,Female,Right,High School/GED,Infinity,3,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,31-40%,71-80%,71-80%,Non-Solver,29
A1OSRB1Q63XXWZ,CR_Conf,58,Female,Right,College,Infinity,7,31-40%,0-10%,0-10%,0-10%,21-30%,31-40%,31-40%,21-30%,21-30%,51-60%,41-50%,Non-Solver,29
A1OZN075MPLC9V,CR_Conf,49,Male,Right,High School/GED,1000 hours,7,51-60%,0-10%,0-10%,0-10%,51-60%,0-10%,31-40%,11-20%,11-20%,11-20%,81-90%,Non-Solver,29
A1P0FSO4SO9LAF,CR_Conf,25,Male,Right,College,1000 minutes,9,41-50%,71-80%,91-100%,71-80%,81-90%,71-80%,61-70%,81-90%,71-80%,81-90%,91-100%,Non-Solver,29
A1P3J34DH57JNB,CR_Conf,34,Female,Right,College,Infinity,5,21-30%,0-10%,0-10%,11-20%,0-10%,0-10%,11-20%,0-10%,11-20%,11-20%,11-20%,Non-Solver,29
A1PBRKFHSF1OF8,CR_Conf,33,Female,Right,College,There is no way to know without additional information,3,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,0-10%,0-10%,11-20%,Non-Solver,29
A1PHDT66U6IK4Q,CR_Conf,65,Male,Right,College,There is no way to know without additional information,8,61-70%,0-10%,0-10%,0-10%,0-10%,11-20%,21-30%,31-40%,41-50%,51-60%,71-80%,Non-Solver,29
A1PLQGQ95NICAF,CR_Conf,45,Male,Left,College,There is no way to know without additional information,6,0-10%,0-10%,31-40%,11-20%,0-10%,11-20%,0-10%,0-10%,0-10%,51-60%,41-50%,Non-Solver,30
A1PS11IRT9EFRI,CR_Conf,46,Male,Right,Graduate Degree,1000 minutes,8,61-70%,71-80%,61-70%,71-80%,61-70%,51-60%,61-70%,71-80%,61-70%,51-60%,41-50%,Non-Solver,30
A1PT6264PIYFCI,CR_Conf,28,Female,Right,Graduate Degree,1 minute,6,41-50%,41-50%,31-40%,41-50%,51-60%,61-70%,41-50%,21-30%,31-40%,41-50%,41-50%,Non-Solver,30
A1PUHCEBSOWETV,CR_Conf,22,Male,Right,College,1000 seconds,3,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,Non-Solver,30
A1Q68M0X4YXHKH,CR_Conf,36,Prefer not to say,Right,College,Infinity,9,11-20%,0-10%,0-10%,0-10%,21-30%,21-30%,0-10%,0-10%,0-10%,41-50%,41-50%,Non-Solver,30
A1QDDGYC5UB9YA,CR_Conf,41,Female,Right,College,1 hour,3,0-10%,0-10%,0-10%,0-10%,11-20%,21-30%,31-40%,41-50%,51-60%,31-40%,31-40%,Solver,30
A1EAR8424WFLGO,CR_Conf,47,Female,Both hands are equally strong,Graduate Degree,1 hour,9,71-80%,31-40%,51-60%,61-70%,71-80%,81-90%,51-60%,71-80%,41-50%,0-10%,0-10%,Solver,30
A1EH9BPKYXFBS5,CR_Conf,51,Female,Right,Graduate Degree,2000 hours,4,21-30%,0-10%,0-10%,0-10%,11-20%,31-40%,11-20%,11-20%,0-10%,0-10%,0-10%,Non-Solver,30
A1EN3FW93BSXQQ,CR_Conf,25,Female,Right,College,1 hour,2,41-50%,0-10%,21-30%,31-40%,41-50%,41-50%,11-20%,11-20%,0-10%,0-10%,11-20%,Solver,30
A1KWC8TW8ANBQ8,CR_Conf,55,Female,Right,College,1000 minutes,6,51-60%,0-10%,0-10%,0-10%,11-20%,51-60%,21-30%,0-10%,0-10%,0-10%,0-10%,Non-Solver,30
A1L2N1X8U8Z3W7,CR_Conf,31,Female,Right,College,1000 hours,1,11-20%,0-10%,0-10%,0-10%,0-10%,21-30%,11-20%,11-20%,0-10%,11-20%,11-20%,Non-Solver,30
A1L3937MY09J3I,CR_Conf,36,Male,Right,College,1000 minutes,6,21-30%,0-10%,0-10%,0-10%,21-30%,0-10%,11-20%,11-20%,11-20%,21-30%,11-20%,Non-Solver,30
A1QHJGHKDIG3T5,CR_Conf,37,Female,Right,Graduate Degree,1000 hours,1,0-10%,31-40%,51-60%,21-30%,71-80%,31-40%,71-80%,51-60%,0-10%,11-20%,11-20%,Non-Solver,30
A1QHNL8EE7XS4M,CR_Conf,30,Female,Left,Graduate Degree,1 minute,10,61-70%,71-80%,81-90%,61-70%,61-70%,81-90%,81-90%,81-90%,71-80%,61-70%,81-90%,Non-Solver,30
A1QOMPJQC9M6UO,CR_Conf,32,Female,Right,High School/GED,1000 minutes,6,41-50%,0-10%,0-10%,0-10%,0-10%,61-70%,61-70%,61-70%,61-70%,61-70%,61-70%,Non-Solver,30
A1QUBLZCONL4QD,CR_Conf,40,Male,Right,College,1 hour,3,21-30%,0-10%,0-10%,0-10%,11-20%,21-30%,21-30%,31-40%,41-50%,31-40%,51-60%,Solver,30
A1QVNF19XSRSD7,CR_Conf,35,Male,Right,College,1000 minutes,5,21-30%,21-30%,11-20%,31-40%,41-50%,21-30%,31-40%,11-20%,21-30%,41-50%,31-40%,Non-Solver,30
A1QW6HQKXCLS1N,CR_Conf,27,Male,Right,College,1 hour,7,21-30%,0-10%,0-10%,0-10%,0-10%,31-40%,11-20%,0-10%,0-10%,0-10%,0-10%,Solver,30
A1R5FQ17RRFMIF,CR_Conf,38,Female,Right,College,1 hour,7,51-60%,51-60%,41-50%,51-60%,31-40%,41-50%,61-70%,31-40%,51-60%,41-50%,61-70%,Solver,30
A1RATFICCKLCQ,CR_Conf,31,Female,Right,College,Infinity,6,31-40%,0-10%,0-10%,0-10%,0-10%,11-20%,0-10%,0-10%,0-10%,11-20%,11-20%,Non-Solver,30
A1RZJN7U08N4Y5,CR_Conf,35,Female,Right,College,1000 hours,1,11-20%,0-10%,0-10%,0-10%,11-20%,0-10%,0-10%,11-20%,0-10%,0-10%,0-10%,Non-Solver,30
A1S1K7134S2VUC,CR_Conf,46,Male,Both hands are equally strong,Graduate Degree,There is no way to know without additional information,9,41-50%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,Non-Solver,30
A1S1O9ZCONEGE3,CR_Conf,22,Male,Right,College,Infinity,3,0-10%,0-10%,0-10%,11-20%,21-30%,41-50%,51-60%,51-60%,61-70%,51-60%,51-60%,Non-Solver,30
A1S315FYTGY9GL,CR_Conf,29,Male,Right,Graduate Degree,1000000 hours,2,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,21-30%,11-20%,11-20%,Non-Solver,30
A1S3P218RBL9JY,CR_Conf,45,Female,Right,Graduate Degree,Infinity,8,91-100%,21-30%,11-20%,0-10%,21-30%,11-20%,31-40%,21-30%,0-10%,91-100%,91-100%,Non-Solver,30
A1S7WGRS6BVBGW,CR_Conf,39,Female,Right,College,There is no way to know without additional information,6,11-20%,0-10%,0-10%,0-10%,11-20%,11-20%,21-30%,11-20%,11-20%,51-60%,71-80%,Non-Solver,30
A1S88VQY8G8CNC,CR_Conf,63,Male,Right,College,1000 seconds,1,11-20%,21-30%,0-10%,21-30%,0-10%,0-10%,11-20%,0-10%,0-10%,0-10%,0-10%,Non-Solver,30
A1SBGHP430ZVZ1,CR_Conf,27,Prefer not to say,Left,High School/GED,1000 hours,3,0-10%,0-10%,0-10%,0-10%,11-20%,0-10%,11-20%,11-20%,0-10%,0-10%,11-20%,Non-Solver,30
A1SCLZJMXYG630,CR_Conf,37,Male,Right,Graduate Degree,2000 hours,7,31-40%,0-10%,0-10%,0-10%,0-10%,0-10%,21-30%,31-40%,0-10%,11-20%,11-20%,Non-Solver,30
A1SFS9OSGRXODZ,CR_Conf,49,Male,Right,High School/GED,1000000 hours,2,0-10%,0-10%,11-20%,0-10%,0-10%,31-40%,41-50%,41-50%,61-70%,41-50%,0-10%,Non-Solver,30
A1SIUJEL2LS8UO,CR_Conf,30,Male,Right,College,1 second,6,21-30%,41-50%,11-20%,31-40%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,0-10%,Non-Solver,31
A1SP4XA17LVUQI,CR_Conf,32,Female,Left,High School/GED,1000 hours,6,31-40%,0-10%,0-10%,0-10%,11-20%,11-20%,31-40%,21-30%,0-10%,0-10%,0-10%,Non-Solver,31
A1ST0FIJXMNPPW,CR_Conf,21,Male,Both hands are equally strong,High School/GED,1 hour,2,0-10%,0-10%,0-10%,0-10%,11-20%,21-30%,0-10%,0-10%,0-10%,11-20%,11-20%,Solver,31
A1SUHA3IDGN3LO,CR_Conf,28,Male,Right,Graduate Degree,1000 seconds,8,71-80%,41-50%,61-70%,31-40%,21-30%,31-40%,41-50%,41-50%,31-40%,51-60%,41-50%,Non-Solver,31
A1SXYET0NA1IY5,CR_Conf,30,Male,Right,College,There is no way to know without additional information,7,41-50%,0-10%,0-10%,0-10%,0-10%,11-20%,0-10%,0-10%,0-10%,11-20%,41-50%,Non-Solver,31
A1SYKMD6FC8BD3,CR_Conf,28,Female,Right,Graduate Degree,1000 minutes,6,51-60%,11-20%,21-30%,11-20%,21-30%,51-60%,31-40%,11-20%,21-30%,51-60%,31-40%,Non-Solver,31
A1TA2I82B8DJSA,CR_Conf,37,Male,Left,Graduate Degree,There is no way to know without additional information,8,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,Non-Solver,31
A1TLNLB9D87H6,CR_Conf,35,Female,Left,College,1000 minutes,1,0-10%,0-10%,0-10%,0-10%,31-40%,41-50%,51-60%,31-40%,0-10%,0-10%,0-10%,Non-Solver,31
A1TM0YUPC90UFZ,CR_Conf,63,Male,Right,College,Infinity,10,11-20%,0-10%,0-10%,0-10%,0-10%,21-30%,31-40%,41-50%,51-60%,11-20%,71-80%,Non-Solver,31
A1ETEW9WH37WDS,CR_Conf,46,Female,Right,High School/GED,Infinity,8,31-40%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,21-30%,41-50%,41-50%,81-90%,Non-Solver,31
A1EXO9HRNQYHWC,CR_Conf,21,Female,Right,Graduate Degree,1 minute,6,31-40%,0-10%,11-20%,21-30%,31-40%,41-50%,51-60%,61-70%,71-80%,81-90%,91-100%,Non-Solver,31
A1F1BIPJR11LSR,CR_Conf,33,Prefer not to say,Right,College,There is no way to know without additional information,4,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,21-30%,Non-Solver,31
A1TMF8Z3VT364E,CR_Conf,37,Female,Right,College,There is no way to know without additional information,4,11-20%,0-10%,0-10%,0-10%,11-20%,0-10%,11-20%,11-20%,21-30%,31-40%,41-50%,Non-Solver,31
A1TSD3O3C3ZUT6,CR_Conf,27,Male,Right,High School/GED,1000 seconds,4,31-40%,11-20%,31-40%,41-50%,51-60%,61-70%,41-50%,21-30%,21-30%,11-20%,11-20%,Non-Solver,31
A1TU2A8SKSYGY,CR_Conf,24,Male,Left,College,Infinity,9,51-60%,21-30%,0-10%,21-30%,0-10%,31-40%,31-40%,41-50%,51-60%,41-50%,61-70%,Non-Solver,31
A1L4BY5GG3U3LX,CR_Conf,54,Male,Left,High School/GED,Infinity,10,71-80%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,51-60%,11-20%,Non-Solver,31
A1L677O8032TL1,CR_Conf,43,Female,Right,College,Infinity,2,81-90%,0-10%,0-10%,0-10%,0-10%,11-20%,0-10%,0-10%,0-10%,21-30%,0-10%,Non-Solver,31
A1LAEN77KY07TK,CR_Conf,39,Male,Left,College,1000 minutes,4,31-40%,11-20%,61-70%,0-10%,31-40%,21-30%,21-30%,41-50%,21-30%,0-10%,0-10%,Non-Solver,31
A1TUI63TLCHYMR,CR_Conf,40,Female,Right,Graduate Degree,1 hour,9,71-80%,61-70%,71-80%,51-60%,41-50%,51-60%,61-70%,71-80%,81-90%,71-80%,81-90%,Solver,31
A1TYMXIYUUUL6F,CR_Conf,31,Male,Left,College,1000 hours,2,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,Non-Solver,31
A1TZCSZA0IQ6JB,CR_Conf,27,Male,Right,Graduate Degree,1 minute,6,41-50%,31-40%,61-70%,51-60%,61-70%,71-80%,51-60%,41-50%,31-40%,51-60%,51-60%,Non-Solver,31
A1U1GMBTI1BGL2,CR_Conf,29,Male,Right,College,1 minute,8,41-50%,51-60%,31-40%,71-80%,61-70%,31-40%,41-50%,71-80%,71-80%,41-50%,51-60%,Non-Solver,31
A1U3TT3VMH9FU9,CR_Conf,24,Female,Right,College,Infinity,7,41-50%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,0-10%,Non-Solver,31
A1UCWQNS6WL35N,CR_Conf,36,Female,Right,Graduate Degree,1000 seconds,8,31-40%,11-20%,11-20%,21-30%,41-50%,51-60%,41-50%,21-30%,21-30%,11-20%,11-20%,Non-Solver,31
A1ULZEKGAZ6D0E,CR_Conf,26,Female,Right,Graduate Degree,1 minute,6,11-20%,11-20%,21-30%,31-40%,41-50%,51-60%,61-70%,61-70%,71-80%,51-60%,51-60%,Non-Solver,31
A1USDMJVT10CE4,CR_Conf,26,Male,Right,College,1 hour,4,21-30%,31-40%,31-40%,31-40%,31-40%,31-40%,21-30%,21-30%,11-20%,11-20%,11-20%,Solver,31
A1USR9JCAMDGM3,CR_Conf,33,Female,Right,High School/GED,1000 minutes,1,11-20%,0-10%,11-20%,11-20%,41-50%,41-50%,41-50%,31-40%,0-10%,21-30%,31-40%,Non-Solver,31
A1USST4VUQUHGF,CR_Conf,28,Female,Right,Graduate Degree,1 hour,8,41-50%,71-80%,71-80%,61-70%,61-70%,51-60%,61-70%,71-80%,71-80%,61-70%,71-80%,Solver,31
A1UT24L635HEZ6,CR_Conf,36,Male,Right,College,1 hour,6,21-30%,0-10%,0-10%,0-10%,0-10%,21-30%,0-10%,0-10%,0-10%,11-20%,41-50%,Solver,31
A1V0L5FYLMAHTG,CR_Conf,62,Female,Right,College,1 hour,3,21-30%,0-10%,0-10%,0-10%,11-20%,71-80%,61-70%,51-60%,41-50%,71-80%,51-60%,Solver,31
A1V1Q9L3DG40WQ,CR_Conf,24,Male,Right,Graduate Degree,1 minute,5,41-50%,21-30%,11-20%,81-90%,31-40%,61-70%,41-50%,71-80%,51-60%,0-10%,11-20%,Non-Solver,32
A1V2AXAOP2XLND,CR_Conf,43,Male,Left,Graduate Degree,2000 hours,3,21-30%,0-10%,0-10%,11-20%,21-30%,61-70%,21-30%,31-40%,11-20%,71-80%,71-80%,Non-Solver,32
A1V2H0UF94ATWY,CR_Conf,59,Male,Right,High School/GED,1 hour,5,31-40%,0-10%,0-10%,0-10%,11-20%,61-70%,0-10%,0-10%,0-10%,0-10%,11-20%,Solver,32
A1V5VJE32G7HDE,CR_Conf,48,Female,Left,High School/GED,1000000 hours,1,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,31-40%,31-40%,31-40%,31-40%,Non-Solver,32
A1VAL7L9L79IN0,CR_Conf,28,Male,Right,High School/GED,There is no way to know without additional information,3,0-10%,0-10%,0-10%,11-20%,11-20%,0-10%,0-10%,0-10%,0-10%,31-40%,41-50%,Non-Solver,32
A1VC6F0FYG1L5I,CR_Conf,36,Female,Right,College,There is no way to know without additional information,5,41-50%,0-10%,0-10%,0-10%,21-30%,21-30%,21-30%,0-10%,0-10%,0-10%,21-30%,Non-Solver,32
A1VCAMP3XM62R4,CR_Conf,36,Male,Right,High School/GED,1 hour,6,31-40%,0-10%,21-30%,11-20%,31-40%,61-70%,31-40%,31-40%,11-20%,41-50%,41-50%,Solver,32
A1VDJ5IGNKQBLU,CR_Conf,31,Female,Right,College,There is no way to know without additional information,1,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,11-20%,Non-Solver,32
A1VDWLPTE2XC88,CR_Conf,31,Male,Left,Graduate Degree,There is no way to know without additional information,8,0-10%,0-10%,11-20%,0-10%,11-20%,0-10%,11-20%,11-20%,11-20%,0-10%,41-50%,Non-Solver,32
A1VDWLPTE2XC88,CR_Conf,31,Male,Left,Graduate Degree,There is no way to know without additional information,8,0-10%,0-10%,11-20%,0-10%,11-20%,0-10%,11-20%,11-20%,11-20%,11-20%,31-40%,Non-Solver,32
A1VE1CAMPSYRHE,CR_Conf,44,Female,Right,College,1000 hours,3,41-50%,0-10%,0-10%,0-10%,0-10%,21-30%,21-30%,0-10%,0-10%,11-20%,0-10%,Non-Solver,32
A1VEEZ5D9WXZIV,CR_Conf,53,Female,Left,High School/GED,Infinity,4,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,0-10%,Non-Solver,32
A1F1OZ54G177D8,CR_Conf,45,Male,,College,Infinity,8,11-20%,0-10%,0-10%,11-20%,11-20%,61-70%,41-50%,21-30%,0-10%,31-40%,61-70%,Non-Solver,32
A1F8O6BA8AZTRF,CR_Conf,40,Female,Right,College,There is no way to know without additional information,6,11-20%,0-10%,0-10%,11-20%,0-10%,11-20%,11-20%,11-20%,11-20%,31-40%,41-50%,Non-Solver,32
A1FGEK2Y0ZQEAM,CR_Conf,44,Male,Right,College,1000 hours,6,31-40%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,0-10%,0-10%,0-10%,0-10%,Non-Solver,32
A1VFIUM6FD1D2M,CR_Conf,57,Male,Right,College,Infinity,9,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,0-10%,Non-Solver,32
A1VFRCYMWGWWCZ,CR_Conf,34,Female,Right,High School/GED,1000 minutes,4,11-20%,0-10%,0-10%,0-10%,11-20%,31-40%,21-30%,11-20%,0-10%,21-30%,21-30%,Non-Solver,32
A1VJ4ZOXP9PUCP,CR_Conf,29,Female,Right,College,Infinity,2,11-20%,0-10%,0-10%,0-10%,11-20%,0-10%,0-10%,0-10%,11-20%,21-30%,21-30%,Non-Solver,32
A1VKVBVPK57OD5,CR_Conf,31,Female,Right,College,1000 seconds,6,21-30%,0-10%,11-20%,21-30%,11-20%,31-40%,11-20%,21-30%,11-20%,11-20%,0-10%,Non-Solver,32
A1VR49TB3Q4BV8,CR_Conf,24,Male,Right,College,1 minute,6,31-40%,31-40%,31-40%,41-50%,51-60%,41-50%,31-40%,31-40%,41-50%,41-50%,51-60%,Non-Solver,32
A1VSHM4NLZ705D,CR_Conf,39,Male,Right,High School/GED,Infinity,9,41-50%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,71-80%,81-90%,Non-Solver,32
A1LD0QIDVO016U,CR_Conf,49,Female,Right,College,2000 hours,4,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,21-30%,31-40%,11-20%,0-10%,0-10%,Non-Solver,32
A1LKKK4H3XF42C,CR_Conf,20,Male,Right,High School/GED,Infinity,2,11-20%,0-10%,0-10%,0-10%,11-20%,21-30%,31-40%,31-40%,21-30%,11-20%,0-10%,Non-Solver,32
A1LSGYXKP6O1B8,CR_Conf,34,Male,Right,College,There is no way to know without additional information,8,21-30%,0-10%,0-10%,0-10%,21-30%,0-10%,31-40%,11-20%,0-10%,0-10%,21-30%,Non-Solver,32
A1W0RFLBR5FSPD,CR_Conf,28,Male,Left,Graduate Degree,1000 hours,10,61-70%,0-10%,0-10%,0-10%,0-10%,61-70%,51-60%,31-40%,11-20%,41-50%,31-40%,Non-Solver,32
